cancelled,account_length,international_plan,voicemail_plan,num_voicemail_messages,total_day_minutes,total_day_calls,total_day_charge,total_evening_minutes,total_evening_calls,total_evening_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,num_customer_service_calls
no,0.6225490196078431,no,si,0.8206188887271375,0.7986671343388285,0.5961538461538461,0.7986383329894781,0.48963437617791183,0.4903846153846154,0.48957871396895797,0.6639969488939739,0.41346153846153844,0.6635593220338982,0.4779411764705881,0.33333333333333337,0.4768392370572208,0.0
no,0.5196078431372549,no,si,0.830124569620279,0.43563661873027004,0.7211538461538461,0.43552713018361877,0.4824726724462872,0.5288461538461539,0.48248337028824845,0.7009916094584285,0.5288461538461539,0.7008474576271184,0.7499999999999998,0.33333333333333337,0.7493188010899186,0.0
no,0.6666666666666666,no,no,0.0,0.7225534900035075,0.6346153846153847,0.7225087683102951,0.20241236336223145,0.5961538461538461,0.20221729490022178,0.35087719298245607,0.5384615384615384,0.3508474576271186,0.639705882352941,0.5283208335737187,0.6376021798365124,0.13358802120193103
no,0.4068627450980392,si,no,0.0,0.918975797965626,0.22115384615384615,0.9189189189189189,0.5018339992461365,0.3846153846153847,0.5017437694013305,0.4816933638443935,0.3942307692307693,0.48135593220338974,0.22794117647058815,0.6666666666666666,0.22615803814713903,0.44250704934976004
no,0.3627450980392157,si,no,0.0,0.4535250789196773,0.6250000000000001,0.45347637714049926,0.30456087448171887,0.7115384615384616,0.3046563192904656,0.4435545385202135,0.701923076923077,0.44322033898305085,0.48529411764705865,0.33333333333333337,0.48501362397820175,0.7564707973660301
no,0.5735294117647058,si,no,0.0,0.6524026657313223,0.48076923076923084,0.6523622859500722,0.5770825480588013,0.5096153846153847,0.576940133037694,0.5083905415713195,0.673076923076923,0.5084745762711864,0.2058823529411764,0.602451640685868,0.20435967302452318,0.13358802120193103
no,0.5882352941176471,no,si,0.8107403422607161,0.6341634514205541,0.3846153846153847,0.634000412626367,0.5018339992461365,0.576923076923077,0.5017437694013305,0.541571319603356,0.673076923076923,0.5415254237288136,0.2941176470588235,0.6666666666666666,0.2942779291553133,0.7564707973660301
no,0.7156862745098039,si,no,0.0,0.4195019291476675,0.29807692307692313,0.41943470187745,0.1341877120241236,0.4423076923076923,0.13392461197339245,0.5385202135774219,0.46153846153846156,0.5381355932203389,0.2647058823529411,0.602451640685868,0.2643051771117167,0.13358802120193103
no,0.5686274509803921,no,no,0.0,0.5159593125219221,0.47115384615384615,0.5159892717144626,0.5018339992461365,0.3076923076923077,0.5017437694013305,0.5537757437070938,0.40384615384615385,0.5533898305084746,0.38235294117647045,0.4406426982957874,0.3814713896457767,0.0
no,0.6862745098039216,si,si,0.9162011859404886,0.7758681164503684,0.34615384615384615,0.7757375696306995,0.5823595929136826,0.6057692307692307,0.5822616407982262,0.9755911517925246,0.47115384615384615,0.9754237288135592,0.5661764705882352,0.5283208335737187,0.5640326975476839,0.13358802120193103
